category,Tilte,Base_Reviews
self direction,Not for me,Not for me. Can't rate this product. Bought it. Bought it twice by mistake and it wanted me to buy it yet again. Got my money back and still was never able to load it. A bust.
self direction,Not free at all,"Not free at all. Off the rip not a free app, can't even see how it works. I hope I get my money's worth or use out of it.."
security,Not bad,"Not bad. Has cleaned up and cleared so mnemonic e issues which improved performance. However, does have adware which can be annoying."
stimulation,Again a paid app.,Again a paid app.. Does not seem to get rid of all the viruses. Waste of money as always. Seems to thrive on advertising revenues.
self direction,My Review,My Review. It doesn't remove any problems from my device and I can't afford to pay for the app that does so it's pretty much worthless.
self direction,Regrets on this one,"Regrets on this one. Its a shame you can't give a review for less than one star. The free scan overview showed a gain of 1GB,  after purchasing and running the app, there was not a single MB of space gain and in the last 45 minutes the app has closed me out of my game 4 times to offer me additional products. Sorry I did this one."
security,"Only scans, no fix","Only scans, no fix. Its Not Free , scans ypour tablet then trys to sell you another app to fix the ""problems"""
stimulation,Worthless,Worthless. A scan that reports some numbers but doesn't do anything - except tell you to buy the cleaner - is a worthless waste of time.
stimulation,Not sure,"Not sure. Seems to work ,said would clean 2.2 mb, ran it said it cleaned. Scanned again and still said 22 needed cleaning.  Maybe a waste of time."
stimulation,One Star,One Star. Big disappointmentwaste of time
self direction,Questionable,"Questionable. Can't see much difference in my Fire's performance, speed of uploading or anti-virus protection."
stimulation,Disapointing. Did not work with Lorex cameras.,"Disapointing. Did not work with Lorex cameras.. Would not work with my Lorex camers, which is the reason I purchased it.The application saw them in the scan but could not open them, this was while I was on the same local network, so remote viewing is definitely out of the picture.  I wasted my money on this application."
self direction,"App Only Worked on the LAN, and Not on the WAN - and there is no way to get a refund.","App Only Worked on the LAN, and Not on the WAN - and there is no way to get a refund.. This App did not work when it was tried away from the LAN.  It is supposed to give camera access from anywhere you have an Internet connection once it has been set-up.  It did not.  How do I get a refund?Updated 11/30/17:  Answer:  You can't Companies can sell you software on Amazon that does not work as advertised, and there is no recourse for the Consumer."
stimulation,Waste of money for the app and time trying to ...,"Waste of money for the app and time trying to .... VERY difficult to use/setup. Never have gotten it to work with the Swannsecurity cameras we have. Waste of money for the app and time trying to make it work. But if you want to look at random cameras around the world that have no description, this is for you! Because that is all that works."
self direction,Limited use,"Limited use. I was only able to make 2 cameras work, does not support Astak mole, Lorex, a bit difficult to use.but what can I say?"
self direction,Useless without substream setting,"Useless without substream setting. Can't specify a substream. Contacted the developer asking if there's a way to do this. No response. Maybe useful in some setups, but not mine."
stimulation,Waste,Waste. Did not work at all.
stimulation,Don't waste or time or money unless the can prove it will work with brand model of camera,Don't waste or time or money unless the can prove it will work with brand model of camera. Did not work with my Foscam camera or my Zmodo camera what a waste of money
stimulation,Does not work with Nest cameras,Does not work with Nest cameras. I read online that you could use this app to stream all of your Nestsecurity cameras on a single screen with FireTV. That is not the case. This app does not work with Nest cameras since the migration to Google apparently. App is non-refundable so it was just a waste of money for me.
